物业编号,期,面积㎡,月租(元)
2025-089,2025,93.2,8106.8
2025-090,2025,120.2,8807.8
2025-091,2025,56.5,6597.8
2025-092,2025,106.5,7674.5
2025-093,2025,69.7,6662.1
2025-094,2025,110.0,7971.2
2025-095,2025,132.3,9679.6
2025-096,2025,104.3,9003.5
2025-097,2025,45.6,5298.2
2025-098,2025,56.3,5651.3
2025-099,2025,48.7,5747.4
2025-100,2025,73.8,6715.3
2025-101,2025,134.0,9478.8
2025-102,2025,49.0,5622.9
2025-103,2025,86.0,7885.4
2025-104,2025,64.4,6693.1
2025-105,2025,59.2,6101.4
2025-106,2025,101.8,8630.1
2025-107,2025,121.5,8814.5
2025-108,2025,132.1,10087.0
2025-109,2025,45.6,5939.4
2025-110,2025,131.2,8854.1
2025-111,2025,107.6,7929.7
2025-112,2025,107.7,8116.7
2025-113,2025,138.3,9130.8
2025-114,2025,129.2,8735.7
2025-115,2025,95.2,7132.6
2025-116,2025,67.0,7238.4
2025-117,2025,101.7,7044.1
2025-118,2025,82.3,7095.4
2025-119,2025,98.4,7365.2
2025-120,2025,91.1,9105.5
2025-121,2025,104.5,8005.0
2025-122,2025,143.6,9489.0
2025-123,2025,146.9,11193.5
2025-124,2025,112.2,8504.2
2025-125,2025,96.5,8378.9
2025-126,2025,47.8,6308.1
2025-127,2025,114.3,8150.3
2025-128,2025,47.2,5485.4
2025-129,2025,116.4,8649.4
2025-130,2025,63.7,6757.6
2025-131,2025,64.2,6581.4
2025-132,2025,135.4,9724.6
2025-133,2025,94.0,7920.9
2025-134,2025,92.3,8648.8
2025-135,2025,122.9,9938.1
2025-136,2025,58.4,7293.2
2025-137,2025,134.3,9757.0
2025-138,2025,60.3,5956.9
2025-139,2025,85.4,7095.7
2025-140,2025,88.2,7789.3
2025-141,2025,145.8,9484.8
2025-142,2025,82.3,6669.1
2025-143,2025,102.4,7739.8
2025-144,2025,124.1,9449.4
2025-145,2025,100.9,8868.8
2025-146,2025,64.7,6309.3
2025-147,2025,73.0,6256.8
2025-148,2025,132.6,9308.1
2025-149,2025,143.4,9607.7
2025-150,2025,48.1,6183.8
2026-001,2026,105.8,7931.4
2026-002,2026,51.2,4932.2
2026-003,2026,120.2,8651.5
2026-004,2026,121.6,8035.7
2026-005,2026,129.8,10515.4
2026-006,2026,115.4,8623.5
2026-007,2026,149.5,10479.8
2026-008,2026,50.9,4993.9
2026-009,2026,66.0,6437.6
2026-010,2026,63.2,6805.1
2026-011,2026,127.1,9009.2
2026-012,2026,115.3,7518.2
2026-013,2026,46.7,5590.9
2026-014,2026,113.1,7779.9
2026-015,2026,59.1,6961.0
2026-016,2026,93.8,7363.6
2026-017,2026,127.3,9693.4
2026-018,2026,104.9,8467.5
2026-019,2026,137.0,9377.7
2026-020,2026,68.9,6745.7
2026-021,2026,61.6,6527.8
2026-022,2026,60.1,6066.9
2026-023,2026,83.3,6801.9
2026-024,2026,117.3,9728.8
2026-025,2026,146.7,11145.6
2026-026,2026,146.2,9403.6
2026-027,2026,72.6,7168.1
2026-028,2026,131.6,8578.2
2026-029,2026,131.1,9513.0
2026-030,2026,94.2,6523.9
2026-031,2026,133.3,9494.0
2026-032,2026,108.6,7336.8
2026-033,2026,108.6,8706.0
2026-034,2026,119.0,8532.4
2026-035,2026,53.1,5764.0
2026-036,2026,54.9,6081.3
2026-037,2026,73.7,6579.8
2026-038,2026,105.0,7876.2
2026-039,2026,97.4,8038.6
2026-040,2026,69.8,5807.3
2026-041,2026,54.0,5719.7
2026-042,2026,118.6,9366.5
2026-043,2026,102.2,8487.8
2026-044,2026,93.7,7127.3
2026-045,2026,108.0,7712.5
2026-046,2026,93.3,7521.8
2026-047,2026,112.4,8177.1
2026-048,2026,148.5,11597.9
2026-049,2026,91.9,7615.2
2026-050,2026,129.3,7605.2
2026-051,2026,81.7,7399.0
2026-052,2026,85.9,6720.4
2026-053,2026,97.8,8001.6
2026-054,2026,69.0,6410.7
2026-055,2026,45.9,6050.1
2026-056,2026,132.8,9857.9
2026-057,2026,71.6,6405.3
2026-058,2026,58.7,6598.4
2026-059,2026,72.6,6850.5
2026-060,2026,149.2,10916.5
2026-061,2026,58.8,5779.5
2026-062,2026,99.7,7674.9
2026-063,2026,137.7,9592.2
2026-064,2026,148.5,10155.0
2026-065,2026,110.7,9046.3
2026-066,2026,79.3,7734.9
2026-067,2026,56.6,5917.5
2026-068,2026,122.2,8296.1
2026-069,2026,123.6,9234.6
2026-070,2026,57.6,5761.0
2026-071,2026,84.1,6750.3
2026-072,2026,134.1,9517.8
2026-073,2026,97.5,7849.9
2026-074,2026,66.5,6169.6
2026-075,2026,133.2,10264.5
2026-076,2026,116.3,7532.2
2026-077,2026,73.2,6511.3
2026-078,2026,62.9,6371.8
2026-079,2026,51.6,5961.0
2026-080,2026,53.8,6378.7
2026-081,2026,53.5,6113.0
2026-082,2026,85.5,7345.5
2026-083,2026,125.4,8326.8
2026-084,2026,140.3,9724.7
2026-085,2026,53.1,6570.5
2026-086,2026,71.4,7493.5
2026-087,2026,84.0,6738.5
2026-088,2026,66.1,6078.3
2026-089,2026,141.5,9209.8
2026-090,2026,101.7,8140.1
2026-091,2026,46.2,5713.4
2026-092,2026,82.9,7586.5
2026-093,2026,90.0,8908.8
2026-094,2026,70.9,6391.3
2026-095,2026,144.6,9314.3
2026-096,2026,57.9,5703.9
2026-097,2026,146.4,9932.5
2026-098,2026,147.4,10584.9
2026-099,2026,97.2,8210.6
2026-100,2026,105.9,8378.7
2026-101,2026,109.2,8084.2
2026-102,2026,63.9,7065.5
2026-103,2026,109.2,8428.9
2026-104,2026,130.8,10866.5
2026-105,2026,63.2,6303.6
2026-106,2026,63.2,6619.6
2026-107,2026,135.6,10336.8
2026-108,2026,53.7,5735.5
2026-109,2026,63.8,5870.6
2026-110,2026,143.0,11416.5
2026-111,2026,107.5,8334.0
2026-112,2026,96.7,9559.7
2026-113,2026,112.1,8198.4
2026-114,2026,112.2,7561.8
2026-115,2026,145.4,10188.3
2026-116,2026,124.5,8983.6
2026-117,2026,129.4,10236.6
2026-118,2026,77.5,7761.8
2026-119,2026,49.0,5986.2
2026-120,2026,58.9,6956.7
2026-121,2026,59.0,6166.5
2026-122,2026,61.2,6390.7
2026-123,2026,77.3,6281.6
2026-124,2026,101.8,8052.9
2026-125,2026,139.1,9452.5
2026-126,2026,61.8,5685.4
2026-127,2026,115.9,8934.8
2026-128,2026,64.1,5874.2
2026-129,2026,63.0,5461.2
2026-130,2026,135.7,10227.6
2026-131,2026,50.1,5910.2
2026-132,2026,85.1,7578.7
2026-133,2026,131.3,9861.3
2026-134,2026,99.8,7153.5
2026-135,2026,136.7,9396.8
2026-136,2026,133.9,10689.6
2026-137,2026,55.5,5785.5
2026-138,2026,79.9,6307.2
2026-139,2026,70.6,6040.7
2026-140,2026,73.7,7529.5
2026-141,2026,48.8,5631.2
2026-142,2026,45.2,5487.3
2026-143,2026,119.6,8254.1
2026-144,2026,89.1,7076.8
2026-145,2026,52.0,5889.0
2026-146,2026,120.5,8714.9
2026-147,2026,99.1,8314.6
2026-148,2026,74.3,6440.7
2026-149,2026,118.6,10179.8
2026-150,2026,47.5,5577.4
